,date,open,high,low,close,diff,volume
96,2021-02-04,52200,52400,50900,51000,1700,1180448
97,2021-02-05,51100,52700,51100,52400,1400,1354335
98,2021-02-08,53200,56800,52400,55300,2900,5097477
99,2021-02-09,55700,56400,54000,54100,1200,1519768
100,2021-02-10,54500,56500,54200,55400,1300,1847574
101,2021-02-15,56300,56700,55600,55700,300,1219446
102,2021-02-16,55900,56200,54300,55500,200,1339592
103,2021-02-17,55300,55400,54200,54700,800,713624
104,2021-02-18,54200,55400,54000,54100,600,681352
105,2021-02-19,57100,57200,54500,54900,800,1745985
106,2021-02-22,55200,55600,53100,53200,1700,914380
107,2021-02-23,52000,52800,51200,52400,800,784644
108,2021-02-24,52300,54300,52300,53700,1300,1214854
109,2021-02-25,54700,56200,53700,56100,2400,1786744
110,2021-02-26,54300,55400,53900,54000,2100,1032721
111,2021-03-02,54700,55100,52200,53000,1000,891832
112,2021-03-03,52400,53400,52200,53000,0,382837
113,2021-03-04,52600,52600,52000,52200,800,379111
114,2021-03-05,51400,51400,50200,50900,1300,592589
115,2021-03-08,51100,51700,49700,49900,1000,516498
116,2021-03-09,49550,49950,47950,49400,500,896828
117,2021-03-10,49100,49300,47900,47950,1450,1041799
118,2021-03-11,47600,49200,47550,49000,1050,672818
119,2021-03-12,49150,50700,49100,50500,1500,805218
120,2021-03-15,50900,51100,50000,50400,100,410630
121,2021-03-16,50500,51400,50500,50900,500,380699
122,2021-03-17,51000,52000,50900,51600,700,454635
123,2021-03-18,51900,52400,51600,52300,700,473174
124,2021-03-19,51600,53600,51200,53600,1300,1054353
125,2021-03-22,53600,53600,52600,53500,100,388251
126,2021-03-23,53500,53800,51800,51800,1700,507559
127,2021-03-24,51800,52400,51200,52000,200,329573
128,2021-03-25,51700,52900,51300,52100,100,337742
129,2021-03-26,52300,52800,51600,51900,200,321974
130,2021-03-29,51900,51900,50600,50900,1000,395420
131,2021-03-30,51000,53400,51000,53000,2100,793425
132,2021-03-31,53300,53500,52100,52400,600,382604
133,2021-04-01,52400,52500,51600,52000,400,283017
134,2021-04-02,52000,52300,51600,51900,100,270823
135,2021-04-05,52000,52500,51600,52400,500,329011
136,2021-04-06,52600,53100,52400,53000,600,520062
137,2021-04-07,53500,54900,53100,54400,1400,1213353
138,2021-04-08,54600,55900,54000,54600,200,1081683
139,2021-04-09,55100,55400,54100,54100,500,499505
140,2021-04-12,54200,55600,54200,54800,700,703694
141,2021-04-13,55500,56500,55200,56000,1200,956290
142,2021-04-14,56400,56600,55100,56000,0,577459
143,2021-04-15,56300,58600,56200,57400,1400,1404969
144,2021-04-16,57500,57900,56600,57900,500,836715
145,2021-04-19,58600,59000,57500,58100,200,886021
146,2021-04-20,58000,58000,57100,57600,500,572117
147,2021-04-21,57100,57200,56000,56000,1600,814021
148,2021-04-22,56000,57100,56000,56000,0,478451
149,2021-04-23,56000,57300,55200,57300,1300,666326
150,2021-04-26,57700,58100,56800,57200,100,444375
151,2021-04-27,57200,57200,56100,56200,1000,495833
152,2021-04-28,56200,56300,55000,55500,700,536591
153,2021-04-29,55500,55600,53600,54600,900,546889
154,2021-04-30,54400,54600,53600,54200,400,369371
155,2021-05-03,54200,54300,51700,51700,2500,844561
156,2021-05-04,51500,53300,50200,53300,1600,1038216
157,2021-05-06,53300,54000,51600,52700,600,627027
158,2021-05-07,52800,53500,52700,52800,100,371405
159,2021-05-10,53100,54000,53100,53900,1100,459049
160,2021-05-11,53800,53800,53000,53000,900,388187
161,2021-05-12,52400,52400,50900,50900,2100,1153117
162,2021-05-13,49900,50800,49350,49850,1050,732565
163,2021-05-14,50400,51100,50100,50400,550,379374
164,2021-05-17,50800,51200,50400,50700,300,352529
165,2021-05-18,50700,51300,50500,50900,200,353275
166,2021-05-20,50900,51000,50200,50700,200,264765
167,2021-05-21,51000,51200,50700,51000,300,254722
168,2021-05-24,51000,51200,50500,50900,100,267655
169,2021-05-25,51200,51300,50900,51100,200,265382
170,2021-05-26,51200,52700,51100,52400,1300,531381
171,2021-05-27,52500,52600,51100,51300,1100,466499
172,2021-05-28,51800,52500,51600,52100,800,328488
173,2021-05-31,52300,53400,52300,52300,200,304867
174,2021-06-01,52300,52800,52300,52500,200,274023
175,2021-06-02,52600,53500,52500,53400,900,521769
176,2021-06-03,53900,55800,53800,55300,1900,1232727
177,2021-06-04,55800,56700,55400,55900,600,966623
178,2021-06-07,56100,56600,55000,56200,300,714766
179,2021-06-08,56500,56500,55600,55600,600,530755
180,2021-06-09,55800,57000,55700,55900,300,760472
181,2021-06-10,56300,56400,55300,56400,500,717194
182,2021-06-11,56700,56900,55900,56600,200,481860
183,2021-06-14,56600,58200,56200,57800,1200,1104993
184,2021-06-15,57800,58200,57100,57700,100,525483
185,2021-06-16,57800,58000,56500,56800,900,581837
186,2021-06-17,56400,56500,55100,55900,900,769155
187,2021-06-18,56200,58800,55200,57700,1800,1800217
188,2021-06-21,57600,58500,56300,56700,1000,854560
189,2021-06-22,56800,57700,55800,56600,100,517545
190,2021-06-23,55500,56400,55000,55700,900,890172
191,2021-06-24,55700,56300,54600,55000,700,720175
192,2021-06-25,55600,56600,55500,55800,800,559544
193,2021-06-28,56000,56100,54800,55100,700,754215
194,2021-06-29,56000,60800,55600,59700,4600,6225740
195,2021-06-30,59800,60400,57500,57800,1900,2964777
196,2021-07-01,58200,59100,57200,57500,300,1451292
197,2021-07-02,58400,73500,58300,71600,14100,20948559
198,2021-07-05,76100,83400,73900,76000,4400,20566838
199,2021-07-06,75900,78700,74800,76100,100,7122622
200,2021-07-07,76100,77000,74800,75500,600,1390792
201,2021-07-08,77400,80600,77400,80300,4800,2789350
202,2021-07-09,82000,84500,80900,84500,4200,2507748
203,2021-07-12,85000,86600,78500,80000,4500,5968805
204,2021-07-13,79500,84700,79100,83100,3100,5829928
205,2021-07-14,83000,84200,80500,81200,1900,2717127
206,2021-07-15,81800,82300,79900,81200,0,2311306
207,2021-07-16,80600,89200,79900,86500,5300,9598026
208,2021-07-19,85300,86000,83200,84100,2400,2459354
209,2021-07-20,82800,86100,82700,83900,200,2462459
210,2021-07-21,85500,93100,84700,88400,4500,9264735
211,2021-07-22,88900,101500,88800,100200,11800,15563864
212,2021-07-23,101000,103000,97700,100400,200,5814696
213,2021-07-26,103000,106000,94600,95000,5400,6420527
214,2021-07-27,96300,98700,94100,96500,1500,3294618
215,2021-07-28,95200,97700,93200,94000,2500,2186365
216,2021-07-29,94700,96200,92200,93600,400,2727380
217,2021-07-30,94200,94500,88700,89100,4500,3052848
218,2021-08-02,89400,89800,86000,86400,2700,2741726
219,2021-08-03,87000,87400,81700,83400,3000,4020105
220,2021-08-04,83300,84600,81800,83400,0,3200398
221,2021-08-05,84400,85600,83700,84200,800,2730707
222,2021-08-06,83700,84400,81800,82100,2100,2064198
223,2021-08-09,82500,85000,82100,82600,500,2070554
224,2021-08-10,81800,83900,81000,83700,1100,1736597
225,2021-08-11,83600,83600,80600,80800,2900,1586145
226,2021-08-12,80200,82900,78600,78800,2000,2672462
227,2021-08-13,77200,78000,73500,77200,1600,8694843
228,2021-08-17,76500,78300,76100,77100,100,2030856
229,2021-08-18,77400,81300,77300,77800,700,3025686
230,2021-08-19,78600,79800,75900,76100,1700,1999532
231,2021-08-20,77000,79600,76200,77600,1500,2693377
232,2021-08-23,78500,78700,74200,75300,2300,1738511
233,2021-08-24,75600,76700,74700,75900,600,1093879
234,2021-08-25,76100,78100,75100,76800,900,1190558
235,2021-08-26,78900,87600,78300,85400,8600,10961957
236,2021-08-27,85800,86200,80300,80900,4500,4505198
237,2021-08-30,81700,83400,81100,82000,1100,1997342
238,2021-08-31,80700,81600,78600,81200,800,1691497
239,2021-09-01,80600,81700,79200,79900,1300,1407963
240,2021-09-02,81100,82500,79700,79700,200,1411172
241,2021-09-03,80100,81000,79200,80500,800,867598
242,2021-09-06,80800,80900,77400,77800,2700,1254499
243,2021-09-07,77900,78800,76400,77200,600,806666
244,2021-09-08,76700,78000,73700,74300,2900,1575458
245,2021-09-09,74200,75500,72000,72900,1400,1575001
246,2021-09-10,72600,76300,72300,73800,900,1144431
247,2021-09-13,74500,74800,71200,71800,2000,994080
248,2021-09-14,71800,73100,70200,72400,600,1273762
249,2021-09-15,72700,73400,72100,72400,0,551256
250,2021-09-16,72900,72900,71200,71300,1100,568387
251,2021-09-17,72100,73000,70800,72200,900,611807
252,2021-09-23,70300,71300,68900,68900,3300,1284370
253,2021-09-24,69400,70200,68100,68300,600,1346946
254,2021-09-27,68000,70300,67700,68800,500,824472
255,2021-09-28,69300,69800,67800,67800,1000,735722
256,2021-09-29,65900,67400,65500,66900,900,861733
257,2021-09-30,67200,68000,65400,65700,1200,866392
258,2021-10-01,65300,66400,64300,64800,900,808026
259,2021-10-05,63900,65100,61800,63300,1500,1170348
260,2021-10-06,64500,65300,62400,62600,700,819126
261,2021-10-07,63600,67600,63400,67300,4700,1412220
262,2021-10-08,68100,68200,65000,65300,2000,746339
263,2021-10-12,65100,66400,63700,65400,100,512444
264,2021-10-13,65400,67500,65300,65500,100,660295
265,2021-10-14,65700,69000,65600,68900,3400,765499
266,2021-10-15,69800,69800,67000,67500,1400,918822
267,2021-10-18,67900,72200,67000,71100,3600,1614638
268,2021-10-19,71600,72800,70500,72200,1100,918100
